Exercise name,Trainer Link, Vimeo Link, Vimeo Image, Matched, Gender (Male/Female/Anyone),Priority,Level,Location (Gym/Home/Any),Muscle Group,Metric 1,Metric 2,Personal Best Tracking
Seated Dumbbell Calf Raise,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/1,https://vimeo.com/487929458,https://i.vimeocdn.com/video/1009803572_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Seated Calf Raise Machine,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/45,https://vimeo.com/487929454,https://i.vimeocdn.com/video/1009803460_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Wide Grip Seated Cable Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/3,https://vimeo.com/487929446,https://i.vimeocdn.com/video/1009803501_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Narrow Grip Seated Cable Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/58,https://vimeo.com/487929438,https://i.vimeocdn.com/video/1009803522_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Russian Twist,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/46,https://vimeo.com/487929430,https://i.vimeocdn.com/video/1009803530_2160x3840.jpg?r=pad,Yes,,,,Home and Gym,,,,
Romanian Deadlift,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/47,https://vimeo.com/487929427,https://i.vimeocdn.com/video/1009803404_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Reverse Deltoid Fly Machine,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/48,https://vimeo.com/487929422,https://i.vimeocdn.com/video/1009803410_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Renegade Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/206,https://vimeo.com/487929418,https://i.vimeocdn.com/video/1009803436_2160x3840.jpg?r=pad,Yes,,,,Home Only,,,,
Push Up,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/51,https://vimeo.com/487929399,https://i.vimeocdn.com/video/1009803391_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Push Up With Arm Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/52,https://vimeo.com/487929387,https://i.vimeocdn.com/video/1009803543_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Plyo Push Up,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/145,https://vimeo.com/487929381,https://i.vimeocdn.com/video/1009803337_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Plank,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/55,https://vimeo.com/487929374,https://i.vimeocdn.com/video/1009803412_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Plank Jack,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/184,https://vimeo.com/487929365,https://i.vimeocdn.com/video/1009803293_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Nordic Hamstring Curl,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/57,https://vimeo.com/487929349,https://i.vimeocdn.com/video/1009803415_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Mountain Climbers,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/59,https://vimeo.com/487929341,https://i.vimeocdn.com/video/1009803292_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
